model_name,task_name,shot_name,avg_rouge_1,avg_rouge_2,avg_rouge_l,avg_rouge_s
internlm2_5-20b-hf,transformed_imcs_mrg,0shot,0.004754434939117227,0.0,0.004754434939117227,0.013697043347790004
internlm2_5-20b-hf,transformed_medlfqa_medicationqa,0shot,0.2188675459211126,0.0570413842745836,0.15941016508334904,0.12485418516645957
internlm2_5-20b-hf,transformed_medlfqa_liveqa,0shot,0.21870982847892909,0.05065355338345014,0.15093739152601782,0.1280728116871319
internlm2_5-20b-hf,transformed_imcs_mrg,5shot,0,0,0,0
internlm2_5-20b-hf,transformed_medlfqa_healthqa,0shot,0.3856926074366756,0.14658951611691579,0.26781182034498696,0.2719670340097401
internlm2_5-20b-hf,transformed_medlfqa_kqa,5shot,0.3188419922373322,0.09237933911995429,0.21426627319400182,0.17005202008760384
internlm2_5-20b-hf,transformed_medlfqa_healthqa,5shot,0.406577469644946,0.15692489465846746,0.2752238801397055,0.2402994537176699
internlm2_5-20b-hf,transformed_medlfqa_medicationqa,5shot,0.21981866991552618,0.052855980147881364,0.15329945138639214,0.11052460984107057
internlm2_5-20b-hf,transformed_medlfqa_liveqa,5shot,0.22766101540235228,0.05519078456743797,0.16116972501143065,0.12300849404899113
internlm2_5-20b-hf,transformed_medlfqa_kqa,0shot,0.3185889393765984,0.09288758517848388,0.21428097704573318,0.18627828883224887
qwen2.5-72b-instruct-hf,transformed_imcs_mrg,0shot,0.016912395208815753,0.0,0.016912395208815753,0.020996218564364483
qwen2.5-72b-instruct-hf,transformed_medlfqa_medicationqa,0shot,0.18054048526736033,0.04535034687247739,0.12366901298734506,0.06926377825865972
qwen2.5-72b-instruct-hf,transformed_medlfqa_liveqa,0shot,0.19232783062176445,0.043437410065211464,0.12393158582576057,0.07924828349137979
qwen2.5-72b-instruct-hf,transformed_imcs_mrg,5shot,0.04308609704242037,0.0,0.04308609704242037,0.08931288628811844
qwen2.5-72b-instruct-hf,transformed_medlfqa_healthqa,0shot,0.37821376956717245,0.14609410966536582,0.23974026147305938,0.16885125461639416
qwen2.5-72b-instruct-hf,transformed_medlfqa_kqa,5shot,0.27233083875935654,0.07619222156865302,0.17489597035994123,0.08810498279605902
qwen2.5-72b-instruct-hf,transformed_medlfqa_healthqa,5shot,0.36380368235253324,0.13780994727979728,0.23940787144024644,0.13353903708820689
qwen2.5-72b-instruct-hf,transformed_medlfqa_medicationqa,5shot,0.17467458438524988,0.04197314192035706,0.12157344320790321,0.05768167957111834
qwen2.5-72b-instruct-hf,transformed_medlfqa_liveqa,5shot,0.18913952350528218,0.04211670959951738,0.12549656958408778,0.06914623252913886
qwen2.5-72b-instruct-hf,transformed_medlfqa_kqa,0shot,0.27399050084033777,0.07495458447067252,0.17145664439035688,0.1027797111628574
llama-3_1-70b-instruct-hf,transformed_medlfqa_kqa,5shot,0.28114240660690254,0.07652610077375657,0.18524592883382632,0.09434259968983172
llama-3_1-70b-instruct-hf,transformed_imcs_mrg,0shot,0.022097982831580935,0.005140531328898985,0.022097982831580935,0.07180573142370869
llama-3_1-70b-instruct-hf,transformed_medlfqa_medicationqa,0shot,0.17739274859749035,0.04210758785066255,0.11979299069187353,0.06717107222375757
llama-3_1-70b-instruct-hf,transformed_imcs_mrg,5shot,0.051331616174853475,0.0007692307204142042,0.051331616174853475,0.12090220400514515
llama-3_1-70b-instruct-hf,transformed_medlfqa_liveqa,5shot,0.1907005341680836,0.04430276039687746,0.12623748243319932,0.07016549290909642
llama-3_1-70b-instruct-hf,transformed_medlfqa_medicationqa,5shot,0.18578795670754292,0.048540763816143126,0.13207360747500257,0.06496393112624846
llama-3_1-70b-instruct-hf,transformed_medlfqa_liveqa,0shot,0.1859162109343379,0.03957905063525651,0.12165897634899211,0.07811088978092923
llama-3_1-70b-instruct-hf,transformed_medlfqa_kqa,0shot,0.26579571742459007,0.0691358549539095,0.16900493962680016,0.10212417479730529
llama-3_1-70b-instruct-hf,transformed_medlfqa_healthqa,0shot,0.3656282794960287,0.12918966736277093,0.23105293636540877,0.17001614339743348
llama-3_1-70b-instruct-hf,transformed_medlfqa_healthqa,5shot,0.36886183749645324,0.13672062645575608,0.23940648182440583,0.14766492784005766
gpt-4o,transformed_medlfqa_kqa,0shot,0.2762302874181561,0.07584547740524063,0.1749447265523907,0.10979568956123624
gpt-4o,transformed_medlfqa_medicationqa,0shot,0.18230488034466089,0.04833005355395354,0.1251667377350492,0.07317056395708797
gpt-4o,transformed_medlfqa_healthqa,5shot,0.35517238701892384,0.13709595352841608,0.22848388767091543,0.13405468662721443
gpt-4o,transformed_medlfqa_medicationqa,5shot,0.18552081323930988,0.048073940911104104,0.13214970227914855,0.07094280414110815
gpt-4o,transformed_medlfqa_kqa,5shot,0.2954432280851641,0.08789789214298467,0.19411799440893138,0.10080752947924587
gpt-4o,transformed_medlfqa_healthqa,0shot,0.3727344947628616,0.14166081409876402,0.23968966417231033,0.1657901789292135
gpt-4o,transformed_medlfqa_liveqa,0shot,0.19592868723447046,0.04745281327447968,0.12927641130087028,0.0839776522133523
gpt-4o,transformed_medlfqa_liveqa,5shot,0.19641700043513075,0.0484835871577689,0.1306626062353152,0.07655539368096276
gpt-4o,transformed_imcs_mrg,5shot,0.04571140214269542,0.0,0.04571140214269542,0.10787164355588769
gpt-4o,transformed_imcs_mrg,0shot,0.01445037182959307,0.0,0.01445037182959307,0.01133602489531649
mixtral-large-2-instruct-turbomind,transformed_medlfqa_healthqa,0shot,0.3941815034441254,0.15711530565466458,0.255757592403001,0.20236886026089917
mixtral-large-2-instruct-turbomind,transformed_medlfqa_liveqa,0shot,0.2106288194830317,0.05187613293544687,0.13874628648132803,0.09635712707067688
mixtral-large-2-instruct-turbomind,transformed_imcs_mrg,5shot,0.04108455955689516,0.0,0.04108455955689516,0.10036704934436791
mixtral-large-2-instruct-turbomind,transformed_medlfqa_medicationqa,5shot,0.18493247482717773,0.049406209233982236,0.13197810837949367,0.07125337214220742
mixtral-large-2-instruct-turbomind,transformed_medlfqa_medicationqa,0shot,0.1926855007547826,0.051390052961839634,0.1283573348948773,0.08331917430147755
mixtral-large-2-instruct-turbomind,transformed_medlfqa_kqa,0shot,0.29906277404955645,0.08832633569274023,0.1882287735129546,0.12850830887157294
mixtral-large-2-instruct-turbomind,transformed_medlfqa_healthqa,5shot,0.38410897323210613,0.14904110656653718,0.24783165473408794,0.15734096822692864
mixtral-large-2-instruct-turbomind,transformed_medlfqa_kqa,5shot,0.2970621893754546,0.08509238593535187,0.19081655530846053,0.10966489444181743
mixtral-large-2-instruct-turbomind,transformed_imcs_mrg,0shot,0.01112086010046063,0.0,0.01112086010046063,0.004926615874935806
mixtral-large-2-instruct-turbomind,transformed_medlfqa_liveqa,5shot,0.2061570368895795,0.051012620131400385,0.1355543013073276,0.08217502919272004
yi-1.5-34b-chat-hf,transformed_medlfqa_liveqa,0shot,0.19040133784100538,0.03540654177203107,0.12355034509841709,0.08478510497167353
yi-1.5-34b-chat-hf,transformed_imcs_mrg,5shot,0.044537443083034735,0.0,0.044537443083034735,0.0897145530079039
yi-1.5-34b-chat-hf,transformed_medlfqa_healthqa,0shot,0.35777606294373115,0.1228079190516341,0.21703470304755368,0.16758789518398193
yi-1.5-34b-chat-hf,transformed_medlfqa_liveqa,5shot,0.21259375942197817,0.046775676683811385,0.14254746888012235,0.10200896505245045
yi-1.5-34b-chat-hf,transformed_imcs_mrg,0shot,0.04006408530850681,0.0020216734882966894,0.04006408530850681,0.08083278982369539
yi-1.5-34b-chat-hf,transformed_medlfqa_kqa,0shot,0.2723934756109281,0.07334025300268059,0.17676227447456314,0.11986619739084783
yi-1.5-34b-chat-hf,transformed_medlfqa_medicationqa,0shot,0.1732158439407437,0.03600901869103313,0.11433089418913905,0.07140178103950313
yi-1.5-34b-chat-hf,transformed_medlfqa_medicationqa,5shot,0.20421659806535838,0.04749023902517274,0.1422509431720751,0.0911025532957194
yi-1.5-34b-chat-hf,transformed_medlfqa_healthqa,5shot,0.3988996149126315,0.14680452826320642,0.2524514398388117,0.19871877594355747
yi-1.5-34b-chat-hf,transformed_medlfqa_kqa,5shot,0.3096240251317,0.08420753462277693,0.2006700279658526,0.13871490202370138
